ID,Name,Concepticon_ID,Concepticon_Gloss,Definition,LJ_rank,WOLD401_500_rank,Ura100,Swadesh100,Swadesh207,Leipzig_Jakarta,WOLD401_500,Fullbasic,Swadesh200
235,lose,1660,LOSE,"A generic verb for 'lose', i.e. to misplace something.",False,422,no,no,no,no,yes,no,no
236,leave,1752,LEAVE,"A generic verb for 'leave', i.e. to exit or go away from somewhere.",False,423,no,no,no,no,yes,no,no
237,be_hungry,1533,BE HUNGRY,A generic verbal construction meaning 'to be hungry'.,False,424,no,no,no,no,yes,no,no
238,touch,1892,TOUCH,"A generic verb for 'touch', i.e. to make physical contact with something.",False,425,no,no,no,no,yes,no,no
239,molar_tooth,1049,MOLAR TOOTH,A generic noun for the tooth at the back of the mouth.,False,426,no,no,no,no,yes,no,no
240,person,683,PERSON,"A generic noun for a person, human being.",False,427,no,yes,yes,no,yes,yes,yes
241,stretch,214,STRETCH,"A generic verb for 'stretch', i.e. to lengthen something by pulling.",False,428,no,no,no,no,yes,no,no
242,face,1560,FACE,A generic noun for a face (of a human).,False,429,no,no,no,no,yes,no,no
243,beside,1816,BESIDE,An generic nominal modifier (e.g. an adposition) with the meaning 'next to'.,False,430,no,no,no,no,yes,no,no
244,lend,582,LEND,"A generic verb for 'lend', i.e. to temporarily give something to someone, with the expectation that it is returned.",False,431,no,no,no,no,yes,no,no
245,millet,931,MILLET,A generic noun for millets.,False,432,no,no,no,no,yes,no,no
246,soon,703,SOON,An adverb with the meaning 'within or after a short time'.,False,433,no,no,no,no,yes,no,no
247,spider,843,SPIDER,A generic noun for an insect of the class Arachnida.,False,434,no,no,no,no,yes,no,no
248,arrive,1387,ARRIVE,"A generic verb for 'arrive', i.e. to reach a place.",False,435,no,no,no,no,yes,no,no
249,bore,1501,BORE,"A generic verb for 'bore', i.e. to make a hole (with a drill).",False,436,no,no,no,no,yes,no,no
250,wife,1199,WIFE,"A generic noun for 'wife', i.e. a woman in relation to her spouse.",False,437,no,no,yes,no,yes,yes,yes
251,shut,1046,SHUT,"A generic verb for shut, close.",False,438,no,no,no,no,yes,no,no
252,piece,594,PIECE,A generic noun denoting a piece or a fragment.,False,439,no,no,no,no,yes,no,no
253,man,1554,MAN,"A generic noun for 'man', i.e. a male human.",False,440,no,yes,yes,no,yes,yes,yes
254,only,1580,ONLY,"Adverb with the meaning 'only', 'just'.",False,441,no,no,no,no,yes,no,no
255,loud,377,LOUD,A generic adjective with the meaning 'loud'.,False,442,no,no,no,no,yes,no,no
256,groan,716,GROAN,"A generic verb for 'groan', i.e. to make a deep sound conveying grief or disappointment.",False,443,no,no,no,no,yes,no,no
257,tree_stump,241,TREE STUMP,A generic noun for a tree stump.,False,444,no,no,no,no,yes,no,no
258,testicles,797,TESTICLES,A generic noun for testicles.,False,445,no,no,no,no,yes,no,no
259,begin,1806,BEGIN,"A generic verb for begin, start (intransitive form).",False,446,no,no,no,no,yes,no,no
260,song,1096,SONG,A generic noun for 'song'.,False,447,no,no,no,no,yes,no,no
261,sound_noise,1811,SOUND OR NOISE,A generic noun for sound or noise.,False,448,no,no,no,no,yes,no,no
262,stab,1434,STAB,"A generic verb for 'stab', i.e. thrust with a pointed instrument or weapon.",False,449,no,no,yes,no,yes,yes,yes
263,borrow,1823,BORROW,"A generic verb for 'borrow', i.e. to obtain something for temporary use, with the intention of returning it.",False,450,no,no,no,no,yes,no,no
264,teach,709,TEACH,A generic verb for 'teach'.,False,451,no,no,no,no,yes,no,no
265,roast,2146,ROAST OR FRY,"A generic verb for 'roast', i.e. to cook e.g. meat with dry heat.",False,452,no,no,no,no,yes,no,no
266,hen,1514,HEN,A generic noun for a female chicken.,False,453,no,no,no,no,yes,no,no
267,shell,598,SHELL,A generic noun for a seashell.,False,454,no,no,no,no,yes,no,no
268,younger_brother,1760,YOUNGER BROTHER,A generic noun for 'little brother'.,False,455,no,no,no,no,yes,no,no
269,become,1990,BECOME,A generic verb for 'become'.,False,456,no,no,no,no,yes,no,no
270,stinking,42,STINKING,"A generic adjective for stinking, smelly.",False,457,no,no,no,no,yes,no,no
271,rough,1923,ROUGH,A generic adjective for 'rough'. Antonym of 'smooth'.,False,458,no,no,no,no,yes,no,no
272,shake,1909,SHAKE,"A generic verb for 'shake', i.e. move an object up and down or from side to side rapidly.",False,459,no,no,no,no,yes,no,no
273,morning,1339,MORNING,"A generic noun for 'morning', i.e. the time of day between sunrise and noon.",False,460,no,no,no,no,yes,no,no
274,clean,704,CLEAN,A generic adjective for 'clean'. Antonym of 'dirty'.,False,461,no,no,no,no,yes,no,no
275,son-in-law,1056,SON-IN-LAW,A generic noun for the husband of one's daughter.,False,462,no,no,no,no,yes,no,no
276,deaf,996,DEAF,"A generic adjective for 'deaf', i.e. incapable of hearing.",False,463,no,no,no,no,yes,no,no
277,disappear,485,DISAPPEAR,A generic verb for 'disappear'.,False,464,no,no,no,no,yes,no,no
278,early,672,EARLY,A generic adjective for 'early'.,False,465,no,no,no,no,yes,no,no
279,sister,1263,SISTER,A generic noun for 'sister'.,False,466,no,no,no,no,yes,no,no
280,nit,267,NIT,A noun referring to the egg of a head louse.,False,467,no,no,no,no,yes,no,no
281,shallow,193,SHALLOW,"A generic adjective for 'shallow', i.e. of little depth.",False,468,no,no,no,no,yes,no,no
282,bathe,138,BATHE,"A generic verb for 'bathe', i.e. to wash by immersing one's body in water.",False,469,no,no,no,no,yes,no,no
283,summer,1342,SUMMER,A generic noun for 'summer'.,False,470,no,no,no,no,yes,no,no
284,sniff,375,SNIFF,"A generic verb for 'sniff', 'smell'.",False,471,no,no,no,no,yes,no,no
285,bat,1793,BAT,A generic noun for a mammal of the order Chiroptera.,False,472,no,no,no,no,yes,no,no
286,grandchild,1617,GRANDCHILD,"A generic noun for 'grandchild', i.e. a child in relation to their parent's parent.",False,473,no,no,no,no,yes,no,no
287,ice,617,ICE,A generic noun for ice.,False,474,yes,no,yes,no,yes,yes,yes
288,some,1241,SOME,A pronoun with a meaning similar to English 'some'.,False,475,no,no,yes,no,yes,yes,yes
289,hunt,1435,HUNT,A generic verb with the meaning 'hunt'.,False,476,no,no,yes,no,yes,yes,yes
290,girl,1646,GIRL,"A generic noun for 'girl', i.e. a female human child.",False,477,no,no,no,no,yes,no,no
291,dull,379,BLUNT,"A generic adjective with the meaning 'dull', i.e. not sharp.",False,478,no,no,yes,no,yes,yes,yes
292,extinguish,127,EXTINGUISH,A generic verb with the meaning 'extinguish'.,False,479,no,no,no,no,yes,no,no
293,mumble,128,MUMBLE,A generic verb with the meaning 'mumble'.,False,480,no,no,no,no,yes,no,no
294,grandson,1618,GRANDSON,"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent.",False,481,no,no,no,no,yes,no,no
295,short,1645,SHORT,"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'.",False,482,yes,no,yes,no,yes,yes,yes
296,dream,1920,DREAM (SOMETHING),"A generic verb with the meaning 'dream', i.e. to experience dreams while sleeping.",False,483,no,no,no,no,yes,no,no
297,charcoal,1188,CHARCOAL,A generic noun for 'charcoal'.,False,484,no,no,no,no,yes,no,no
298,uncle,1327,UNCLE,A generic noun for the brother of one's father or mother.,False,485,no,no,no,no,yes,no,no
299,lung,688,LUNG,A generic noun for 'lung'.,False,486,no,no,no,no,yes,no,no
300,vulture,1185,VULTURE,A generic noun denoting Old World vultures.,False,487,no,no,no,no,yes,no,no
301,comb,1475,COMB,A generic noun for 'comb'.,False,488,no,no,no,no,yes,no,no
302,top,1753,TOP,A generic noun for the top part of e.g. a tree or a mountain.,False,489,no,no,no,no,yes,no,no
303,divide,1119,DIVIDE,"A generic verb for 'divide', i.e. separate to parts.",False,490,no,no,no,no,yes,no,no
304,keep,1477,KEEP,"A generic verb for 'keep', i.e. retain possession of.",False,491,no,no,no,no,yes,no,no
305,whistle,1025,WHISTLE,A generic verb for 'whistle'.,False,492,no,no,no,no,yes,no,no
306,share,884,SHARE,A generic verb for 'share'.,False,493,no,no,no,no,yes,no,no
307,shit,676,SHIT (DEFECATE),A generic verb for 'shit'.,False,494,no,no,no,no,yes,no,no
308,tired,1757,TIRED,A generic adjective for 'tired'.,False,495,no,no,no,no,yes,no,no
309,dirty,1230,DIRTY,A generic adjective for 'dirty'.,False,496,no,no,yes,no,yes,yes,yes
310,rainbow,1733,RAINBOW,A generic noun for 'rainbow'.,False,497,no,no,no,no,yes,no,no
311,turtle,112,TURTLE,A generic noun for 'turtle'.,False,498,no,no,no,no,yes,no,no
312,mind,1562,MIND,A generic noun for 'mind'.,False,499,no,no,no,no,yes,no,no
313,armpit,1886,ARMPIT,A generic noun for 'armpit'.,False,500,no,no,no,no,yes,no,no
