"ref_abbr"	"original_reference"	"type"
"WogWb"	"@book{WogWb author={Munkácsi, {B}ernát & {K}álmán, {B}éla}, year=1986, title={{W}ogulisches {W}örterbuch}, publisher={{A}kadémiai {K}iadó}, address={{B}udapest}}"	"P"
"DEWbOstj"	"@book{DEWbOstj author={Steinitz, {W}olfgang}, year={1966-1991}, title={{D}ialektologisches und etymologisches {W}örterbuch der ostjakischen {S}prache. 1. - 13. {L}ieferung}, publisher={{A}kademie-Verlag}, address={{B}erlin}}"	"P"
"JurSWb"	"@book{JurSWb author={Lehtisalo, T.}, year=1956, title={{J}uraksamojedisches {W}örterbuch}, publisher={{S}uomalais-{U}grilainen {S}eura}, address={{H}elsinki}}"	"P"
"SolkWb"	"@book{SolkWb author={Alatalo, {J}armo}, year=2004, title={{S}ölkupisches {W}örterbuch aus {A}ufzeichnungen von {K}ai {D}onner, {U}. {T}. {S}irelius und {J}armo {A}latalo. {L}exica {S}ocietatis {F}enno-Ugricae 30}, publisher={{F}innisch-Ugrische {G}esellschaft}, address={{H}elsinki}}"	"P"
"EESR"	"@book{EESR author={Metsämägi, {I}iris, & {S}edrik, {M}eeli & {S}oosaar, {S}ven-{E}rik}, year=2012, title={{E}esti etümoloogiasõnaraamat}, publisher={{E}esti {K}eele {S}ihtasutus}, address={{T}allinn}}"	"P"
"Koi88"	"@article{Koi88 author={Koivulehto, {J}orma}, year=1988, title={{L}apin ja itämerensuomeen suhteesta. {I}eur. -Tr- yhtymän korvautuminen lainoissa}, journal={Virittäjä}, volume=92, pages={26-51}}"	"P"
"SSA"	"@book{SSA title={Suomen sanojen alkuperä.  {E}tymologine­n sanakirja. {I}–{III}}, publisher={{S}uomalaisen {K}irjallisuuden {S}eura & {K}otimaisten kielten tutkimuskeskus}, year=1992–2000, address={{H}elsinki}}"	"P"
"Hakk04"	"@book{Hakk04 author={Häkkinen, {K}aisa}, year=2004, title={{N}ykysuomen etymologinen sanakirja}, publisher={{WSOY}}, address={{H}elsinki}}"	"P"
"Heikk13"	"@book{Heikk13 author={Heikkilä, {M}ikko}, year=2013, title={{I}tämerensuomen ehdollisesta äänteenmuutoksesta /ai/ > /ei/}, pages={583-592}, journal={Virittäjä}, volume=117}"	"P"
"Heikk14"	"@book{Heikk14 author={Heikkilä, {M}ikko}, year=2014, title={{B}idrag till {F}ennoskandiens språkliga förhistoria i tid och rum}, publisher={{U}nigrafia}, address={{H}elsinki}}"	"P"
"SlNgaRus"	"@book{SlNgaRus author={Костеркина, {H}. {T}. & {М}омде, {А}. {Ч}. & {Ж}данова, {Т}. {Ю}.}, year=2001, title={{С}ловарь нганасанско-русский и русско-нганасанский [Nganasan-Russian and {R}ussian-Nganasan dictionary]}, publisher={{П}росвещение}, address={St. {P}etersburg}}"	"P"
"EZ"	"Evgenia Zhivotova"	"E"
"MH"	"Mikko Heikkilä"	"E"
"SI"	"Sulev Iva"	"E"
"RB"	"Rogier Blokland"	"E"
"LAGLOS"	"@book{LAGLOS author={Hahmo, {S}. & {H}ofstra, {T}. & {N}ikkilä, {O}. & {K}ylstra, {A}. {D}}, year={1991-2012}, title={{L}exikon der älteren germanischen lehnwörter in den ostseefinnischen sprachen 1-3}, publisher={{R}odopi}, address={{A}msterdam}}"	"P"
"Holop18"	"@incollection{Holop18 author={Holopainen, {S}ampsa}, year=2018, title={{I}ndo-Iranian loans confined to {S}aami?}, editor={{H}olopainen, {S}ampsa & {S}aarikivi, {J}anne}, booktitle={{P}eri orthotētos etymōn. {U}usiutuva uralilainen etymologia. {U}ralica {H}elsingiensia 11}, publisher={{S}uomalas-Ugrilainen {S}eura, {H}elsinki}}"	"P"
"Saar18"	"@incollection{Saar18 author={Saarikivi, {J}anne}, year=2018, title={{F}innic and other {W}estern {U}ralic borrowings in {P}ermian} editor={{H}olopainen, {S}ampsa & {S}aarikivi, {J}anne}, booktitle={{P}eri orthotētos etymōn. {U}usiutuva uralilainen etymologia. {U}ralica {H}elsingiensia 11}, publisher={{S}uomalas-Ugrilainen {S}eura, {H}elsinki}}"	"P"
